"Chr" "genus"
"434" "k137_1248253" "Polarella"
"435" "k137_5565157" "Polarella"
"436" "k137_3604364" "Polarella"
"437" "k137_5565411" "Polarella"
"438" "k137_6152672" "Polarella"
"439" "k137_2819742" "Polarella"
"440" "k137_6348522" "Polarella"
"441" "k137_5957968" "Polarella"
"442" "k137_2624490" "Polarella"
"443" "k137_4584885" "Polarella"
"444" "k137_3409321" "Polarella"
"445" "k137_6153736" "Polarella"
"446" "k137_6545535" "Polarella"
"447" "k137_4389021" "Polarella"
"448" "k137_6939096" "Polarella"
"449" "k137_7528672" "Polarella"
"450" "k137_4979518" "Polarella"
"451" "k137_4390903" "Polarella"
"452" "k137_4979600" "Polarella"
"453" "k137_5370862" "Polarella"
"454" "k137_860893" "Polarella"
"455" "k137_7332268" "Polarella"
"456" "k137_860953" "Polarella"
"457" "k137_7723735" "Polarella"
"458" "k137_1251866" "Polarella"
"459" "k137_3412314" "Polarella"
"460" "k137_7529666" "Polarella"
"461" "k137_861529" "Polarella"
"462" "k137_6352431" "Polarella"
"463" "k137_1059025" "Polarella"
"464" "k137_667466" "Polarella"
"465" "k137_3020303" "Polarella"
"466" "k137_667795" "Polarella"
"467" "k137_2040105" "Polarella"
"468" "k137_4000870" "Polarella"
"469" "k137_4394095" "Polarella"
"470" "k137_4198035" "Polarella"
"471" "k137_3020935" "Polarella"
"472" "k137_668314" "Polarella"
"473" "k137_4982869" "Polarella"
"474" "k137_3021276" "Polarella"
"475" "k137_1452689" "Polarella"
"476" "k137_1845484" "Polarella"
"477" "k137_5963895" "Polarella"
"478" "k137_3218992" "Polarella"
"479" "k137_3219086" "Polarella"
"480" "k137_669223" "Polarella"
"481" "k137_2041630" "Polarella"
"482" "k137_4395796" "Polarella"
"483" "k137_81347" "Polarella"
"484" "k137_81734" "Polarella"
"485" "k137_4788025" "Polarella"
"486" "k137_6552776" "Polarella"
"487" "k137_3416974" "Polarella"
"488" "k137_1650527" "Polarella"
"489" "k137_4003596" "Polarella"
"490" "k137_5376315" "Polarella"
"491" "k137_3220843" "Polarella"
"492" "k137_7338132" "Polarella"
"493" "k137_7729623" "Polarella"
"494" "k137_2240124" "Polarella"
"495" "k137_3418268" "Polarella"
"496" "k137_3024666" "Polarella"
"497" "k137_2240222" "Polarella"
"498" "k137_1652157" "Polarella"
"499" "k137_7142795" "Polarella"
"500" "k137_6947278" "Polarella"
"501" "k137_279675" "Polarella"
"502" "k137_4987249" "Polarella"
"503" "k137_4005831" "Polarella"
"504" "k137_3419387" "Polarella"
"505" "k137_1457061" "Polarella"
"506" "k137_5183665" "Polarella"
"507" "k137_477542" "Polarella"
"508" "k137_2831383" "Polarella"
"509" "k137_6556212" "Polarella"
"510" "k137_3026788" "Polarella"
"511" "k137_7341120" "Polarella"
"512" "k137_478218" "Polarella"
"513" "k137_7341464" "Polarella"
"514" "k137_479022" "Polarella"
"515" "k137_4597368" "Polarella"
"516" "k137_7733388" "Polarella"
"517" "k137_6361510" "Polarella"
"518" "k137_5186444" "Polarella"
"519" "k137_2834073" "Polarella"
"520" "k137_5382078" "Polarella"
"521" "k137_1853293" "Polarella"
"522" "k137_1068496" "Polarella"
"523" "k137_6166896" "Polarella"
"524" "k137_480752" "Polarella"
"525" "k137_5187567" "Polarella"
"526" "k137_3815111" "Polarella"
"527" "k137_4794666" "Polarella"
"528" "k137_6167637" "Polarella"
"529" "k137_6363406" "Polarella"
"530" "k137_1657599" "Polarella"
"531" "k137_7344839" "Polarella"
"532" "k137_1462328" "Polarella"
"533" "k137_5188808" "Polarella"
"534" "k137_2639731" "Polarella"
"535" "k137_1070617" "Polarella"
"536" "k137_90147" "Polarella"
"537" "k137_7149178" "Polarella"
"538" "k137_4012005" "Polarella"
"539" "k137_7543708" "Polarella"
"540" "k137_91609" "Polarella"
"541" "k137_6759490" "Polarella"
"542" "k137_2249969" "Polarella"
"543" "k137_3427998" "Polarella"
"544" "k137_7348635" "Polarella"
"545" "k137_1268011" "Polarella"
"546" "k137_3231762" "Polarella"
"547" "k137_7349117" "Polarella"
"548" "k137_682383" "Polarella"
"549" "k137_7152881" "Polarella"
"550" "k137_4212347" "Polarella"
"551" "k137_5585997" "Polarella"
"552" "k137_683478" "Polarella"
"553" "k137_7153796" "Polarella"
"554" "k137_1860136" "Polarella"
"555" "k137_4998133" "Polarella"
"556" "k137_1860612" "Polarella"
"557" "k137_3233985" "Polarella"
"558" "k137_5587607" "Polarella"
"559" "k137_3430595" "Polarella"
"560" "k137_488298" "Polarella"
"561" "k137_1664315" "Polarella"
"562" "k137_5783528" "Polarella"
"563" "k137_6566633" "Polarella"
"564" "k137_7351440" "Polarella"
"565" "k137_2449915" "Polarella"
"566" "k137_5980427" "Polarella"
"567" "k137_4410887" "Polarella"
"568" "k137_5980525" "Polarella"
"569" "k137_6175765" "Polarella"
"570" "k137_1077940" "Polarella"
"571" "k137_7743412" "Polarella"
"572" "k137_3824145" "Polarella"
"573" "k137_1862958" "Polarella"
"574" "k137_4019293" "Polarella"
"575" "k137_4608508" "Polarella"
"576" "k137_2254967" "Polarella"
"577" "k137_5001210" "Polarella"
"578" "k137_5001308" "Polarella"
"579" "k137_5785933" "Polarella"
"580" "k137_5982252" "Polarella"
"581" "k137_491141" "Polarella"
"582" "k137_3825814" "Polarella"
"583" "k137_4805179" "Polarella"
"584" "k137_6569937" "Polarella"
"585" "k137_2845735" "Polarella"
"586" "k137_7745843" "Polarella"
"587" "k137_7552255" "Polarella"
"588" "k137_100145" "Polarella"
"589" "k137_1275701" "Polarella"
"590" "k137_4022546" "Polarella"
"591" "k137_494004" "Polarella"
"592" "k137_5985168" "Polarella"
"593" "k137_7160403" "Polarella"
"594" "k137_6769307" "Polarella"
"595" "k137_4612670" "Polarella"
"596" "k137_7554542" "Polarella"
"597" "k137_7357603" "Polarella"
"598" "k137_886315" "Polarella"
"599" "k137_6573338" "Polarella"
"600" "k137_5594878" "Polarella"
"601" "k137_5397006" "Polarella"
"602" "k137_5005995" "Polarella"
"603" "k137_2457014" "Polarella"
"604" "k137_3242367" "Polarella"
"605" "k137_4614309" "Polarella"
"606" "k137_7358996" "Polarella"
"607" "k137_5006730" "Polarella"
"608" "k137_4418101" "Polarella"
"609" "k137_2850116" "Polarella"
"610" "k137_1672912" "Polarella"
"611" "k137_3045595" "Polarella"
"612" "k137_6772006" "Polarella"
"613" "k137_5203982" "Polarella"
"614" "k137_300258" "Polarella"
"615" "k137_4026532" "Polarella"
"616" "k137_7557636" "Polarella"
"617" "k137_1478412" "Polarella"
"618" "k137_7751582" "Polarella"
"619" "k137_7751648" "Polarella"
"620" "k137_301257" "Polarella"
"621" "k137_6379906" "Polarella"
"622" "k137_4027377" "Polarella"
"623" "k137_105938" "Polarella"
"624" "k137_890078" "Polarella"
"625" "k137_2067773" "Polarella"
"626" "k137_7362195" "Polarella"
"627" "k137_5990677" "Polarella"
"628" "k137_4225019" "Polarella"
"629" "k137_6381237" "Polarella"
"630" "k137_696529" "Polarella"
"631" "k137_7753929" "Polarella"
"632" "k137_696591" "Polarella"
"633" "k137_4422948" "Polarella"
"634" "k137_5402650" "Polarella"
"635" "k137_1677385" "Polarella"
"636" "k137_4814755" "Polarella"
"637" "k137_108623" "Polarella"
"638" "k137_2659387" "Polarella"
"639" "k137_7365091" "Polarella"
"640" "k137_5209066" "Polarella"
"641" "k137_3640973" "Polarella"
"642" "k137_2267208" "Polarella"
"643" "k137_3837023" "Polarella"
"644" "k137_5797629" "Polarella"
"645" "k137_3641314" "Polarella"
"646" "k137_6581040" "Polarella"
"647" "k137_6189739" "Polarella"
"648" "k137_4425197" "Polarella"
"649" "k137_1876129" "Polarella"
"650" "k137_6778473" "Polarella"
"651" "k137_2660886" "Polarella"
"652" "k137_1091859" "Polarella"
"653" "k137_3052447" "Polarella"
"654" "k137_5603631" "Polarella"
"655" "k137_5014544" "Polarella"
"656" "k137_1876870" "Polarella"
"657" "k137_4818116" "Polarella"
"658" "k137_4818249" "Polarella"
"659" "k137_896216" "Polarella"
"660" "k137_3643686" "Polarella"
"661" "k137_6583225" "Polarella"
"662" "k137_1485678" "Polarella"
"663" "k137_7368250" "Polarella"
"664" "k137_5406945" "Polarella"
"665" "k137_4623607" "Polarella"
"666" "k137_3644140" "Polarella"
"667" "k137_112670" "Polarella"
"668" "k137_7565567" "Polarella"
"669" "k137_5997140" "Polarella"
"670" "k137_6976940" "Polarella"
"671" "k137_3840471" "Polarella"
"672" "k137_3252703" "Polarella"
"673" "k137_5016845" "Polarella"
"674" "k137_2860041" "Polarella"
"675" "k137_2860068" "Polarella"
"676" "k137_7172900" "Polarella"
"677" "k137_4428896" "Polarella"
"678" "k137_7761261" "Polarella"
"679" "k137_5802555" "Polarella"
"680" "k137_508275" "Polarella"
"681" "k137_6390033" "Polarella"
"682" "k137_2077681" "Polarella"
"683" "k137_5216053" "Polarella"
"684" "k137_4822737" "Polarella"
"685" "k137_6390960" "Polarella"
"686" "k137_7372627" "Polarella"
"687" "k137_7176039" "Polarella"
"688" "k137_1882566" "Polarella"
"689" "k137_6391370" "Polarella"
"690" "k137_5020685" "Polarella"
"691" "k137_1291901" "Polarella"
"692" "k137_7177078" "Polarella"
"693" "k137_2079756" "Polarella"
"694" "k137_5022048" "Polarella"
"695" "k137_5412961" "Polarella"
"696" "k137_6982761" "Polarella"
"697" "k137_3846378" "Polarella"
"698" "k137_7374923" "Polarella"
"699" "k137_4237589" "Polarella"
"700" "k137_315210" "Polarella"
"701" "k137_119413" "Polarella"
"702" "k137_7178757" "Polarella"
"703" "k137_6787902" "Polarella"
"704" "k137_2277959" "Polarella"
"705" "k137_3259820" "Polarella"
"706" "k137_709947" "Polarella"
"707" "k137_3063054" "Polarella"
"708" "k137_710486" "Polarella"
"709" "k137_2867823" "Polarella"
"710" "k137_5025406" "Polarella"
"711" "k137_7181263" "Polarella"
"712" "k137_2476421" "Polarella"
"713" "k137_4437225" "Polarella"
"714" "k137_6790533" "Polarella"
"715" "k137_2476663" "Polarella"
"716" "k137_2476813" "Polarella"
"717" "k137_6397368" "Polarella"
"718" "k137_7379080" "Polarella"
"719" "k137_6397731" "Polarella"
"720" "k137_6791878" "Polarella"
"721" "k137_3655282" "Polarella"
"722" "k137_123657" "Polarella"
